Date,Open,High,Low,Close,Adj Close,Volume,company_name
2018-05-30,20487.82421875,20487.82421875,19664.845703125,19686.50390625,19272.294921875,3903942,FPT
2018-05-31,19513.24609375,20227.9375,19491.587890625,19924.734375,19505.51171875,2874405,FPT
2018-06-01,19924.734375,20227.9375,19794.791015625,20119.650390625,19696.328125,3628077,FPT
2018-06-04,20141.306640625,20552.796875,20076.3359375,20466.16796875,20035.5546875,3302967,FPT
2018-06-05,20574.453125,20834.341796875,20444.509765625,20704.3984375,20268.771484375,4376692,FPT
2018-06-06,20791.02734375,21007.599609375,20487.82421875,21007.599609375,20565.59375,2349179,FPT
2018-06-07,21180.859375,21180.859375,20661.083984375,20704.3984375,20268.771484375,2627931,FPT
2018-06-08,20747.712890625,20877.65625,20574.453125,20769.369140625,20332.376953125,2426174,FPT
2018-06-11,20682.740234375,20769.369140625,20574.453125,20574.453125,20141.560546875,1666615,FPT
2018-06-12,20574.453125,20574.453125,19794.791015625,20054.677734375,19632.72265625,2948654,FPT
2018-06-13,19924.734375,20314.56640625,19924.734375,20271.251953125,19844.740234375,1480143,FPT
2018-06-14,20357.880859375,20466.16796875,20184.623046875,20184.623046875,19759.931640625,1062824,FPT
2018-06-15,20054.677734375,20227.9375,20033.021484375,20141.306640625,19717.52734375,1020666,FPT
2018-06-18,20314.56640625,20314.56640625,19664.845703125,19664.845703125,19251.091796875,3786615,FPT
2018-06-19,19534.90234375,19534.90234375,18495.3515625,19275.015625,18869.46484375,15228172,FPT
2018-06-20,19448.2734375,19664.845703125,19058.44140625,19664.845703125,19251.091796875,1501936,FPT
2018-06-21,19664.845703125,19664.845703125,19101.755859375,19231.69921875,18827.05859375,807506,FPT
2018-06-22,19188.384765625,19491.587890625,19015.126953125,19491.587890625,19081.48046875,866378,FPT
2018-06-25,19664.845703125,19664.845703125,19448.2734375,19534.90234375,19123.8828125,1411852,FPT
2018-06-26,19275.015625,19404.958984375,19188.384765625,19275.015625,18869.46484375,556045,FPT
2018-06-27,19448.2734375,19448.2734375,19166.728515625,19188.384765625,18784.65625,1131231,FPT
2018-06-28,19188.384765625,19188.384765625,18408.72265625,18408.72265625,18021.3984375,2713281,FPT
2018-06-29,18408.72265625,18625.294921875,17975.576171875,17975.576171875,17597.365234375,1754091,FPT
2018-07-02,17975.576171875,18148.833984375,17325.85546875,17412.484375,17046.12109375,2480013,FPT
2018-07-03,17412.484375,17607.400390625,16892.708984375,16892.708984375,16537.28125,3119102,FPT
2018-07-04,16914.3671875,17325.85546875,16676.13671875,17325.85546875,16961.314453125,2362248,FPT
2018-07-05,17325.85546875,17369.169921875,16676.13671875,17109.283203125,16749.298828125,1642028,FPT
2018-07-06,16892.708984375,18062.205078125,16849.39453125,17672.373046875,17300.541015625,2108428,FPT
2018-07-09,17759.001953125,17910.603515625,17239.2265625,17390.828125,17024.921875,1542594,FPT
2018-07-10,17455.80078125,17629.05859375,17325.85546875,17499.115234375,17130.927734375,575090,FPT
